x,y,v
0.22436964285714112,0.06413571428571885,2
1.5401838995478485,0.3131253116216506,2
2.6684724245386846,0.35491377551020165,2
3.8385494134180647,0.35491377551020165,2
4.966837938408901,0.35491377551020165,2
5.7608187522913425,0.3131253116216506,2
6.68016495783943,0.2713368477330995,2
7.8084534828302665,0.2713368477330995,2
8.644222760601252,0.2713368477330995,2
9.647145893926442,0.35491377551020165,2
10.691857491140176,0.43849070328729667,2
11.820146016131012,0.3967022393987456,2
12.614126830013447,0.48027916717584773,2
14.076723066112677,0.6056445588414938,2
14.828915416106568,0.6474330227300449,2
15.664684693877554,0.772798414395691,2
16.876550146645492,1.0653176616155413,2
17.79589635219358,1.3160484449468335,2
19.049550268850062,1.5667792282781328,2
19.843531082732504,1.859298475497976,2
21.18076192716608,2.3189715782720235,2
21.932954277159972,2.736856217157513,2
23.019454338262257,3.029375464377363,2
23.855223616033243,3.3218947115972064,2
25.02530060491263,3.5308370310399546,2
25.568550635463772,3.6144139588170567,2
26.73862762434316,3.3636831754857575,2
27.114723799340105,3.112952392154458,2
28.075858468776737,2.862221608823166,2
28.828050818770627,2.5279138977147717,2
29.538454704875967,1.9428754032750781,2
30.08170473542711,1.2742599810582824,2
30.499589374312606,0.689221486618596,2
30.833897085421,-0.02118239948674372,2
31.168204796529395,-0.9823170689233827,2
31.293570188195048,-1.9016632744714705,2
31.418935579860694,-3.0299517994623066,2
31.54430097152634,-4.0328749327874895,2
31.460724043749245,-4.952221138335577,2
31.377147115972143,-6.205875054992063,2
31.251781724306497,-7.208798188317246,2
31.04283940486375,-8.169932857753885,2
30.708531693755354,-9.25643291885617,2
30.499589374312606,-9.84147141329586,2
30.207070127092763,-10.510086835512652,2
29.62203163265307,-11.095125329952346,2
29.078781602101927,-11.596586896614937,2
28.61910849932788,-12.056259999388981,2
27.825127685445445,-12.683086957717222,2
26.863993016008806,-13.47706777159966,2
25.484973707686677,-14.103894729927902,2
23.771646688256148,-14.981452471587442,2
23.186608193816454,-15.357548646584387,2
21.932954277159972,-15.984375604912628,2
21.097184999388986,-16.48583717157522,2
19.9271080105096,-17.029087202126362,2
18.54808870218747,-17.697702624343155,2
17.879473279970675,-18.03201033545155,2
16.83476168275694,-18.44989497433704,2
15.915415477208853,-18.993145004888184,2
14.61997309666382,-19.828914282659174,2
13.784203818892834,-20.246798921544666,2
12.990223005010392,-20.74826048820726,2
12.070876799462305,-21.375087446535503,2
11.27689598557987,-21.876549013198094,2
9.647145893926442,-22.50337597152634,2
8.686011224489803,-23.088414465966032,2
7.599511163387518,-23.96597220762557,2
6.7219534217279815,-24.216702990956865,2
5.7190302884027915,-24.592799165953807,2
5.008626402297452,-24.843529949285106,2
3.7131840217524186,-24.968895340950752,2
2.7520493523157796,-24.968895340950752,2
1.6655492912134982,-24.67637609373091,2
0.3701069106684649,-24.258491454845412,2
-0.29850851154832725,-23.75702988818282,2
-0.9671239337651159,-23.25556832152023,2
-1.7193162837590066,-22.586952899303437,2
-2.3461432420872477,-21.709395157643897,2
-2.764027880972744,-20.37216431321032,2
-2.764027880972744,-20.03785660210192,2
-3.0565471281925873,-18.65883729377979,2
-3.1401240559696895,-17.44697184101186,2
-3.1401240559696895,-16.56941409935232,2
-3.1401240559696895,-15.65006789380423,2
-3.181912519858237,-14.647144760479044,2
-3.01475866430404,-13.059183132714168,2
-3.01475866430404,-12.724875421605773,2
-2.9729702004154888,-11.178702257729444,2
-2.9311817365269413,-10.927971474398145,2
-2.764027880972744,-9.423586774410367,2
-2.6386624893070945,-8.211721321642433,2
-2.722239417084193,-6.6655481577661035,2
-2.764027880972744,-5.077586530001227,2
-2.6804509531956455,-3.782144149456194,2
-2.3461432420872477,-2.61206716057681,2
-1.7193162837590066,-1.5255670994745252,2
-1.176066253207864,-0.8987401411462876,2
-0.34029697543687476,-0.23012471892949193,2
0.4118953745570124,0.02060606440180024,2
